AAPL,MSI,SBUX
127.21,66.52,48.685
126.69,66.23,48.9575
123.38,65.35,47.885
124.24,65.42,47.54
123.25000000000001,65.38,47.535
126.37,66.39,47.99
124.43000000000002,66.67,47.35
124.25,66.67,46.51
125.31999999999998,62.510000000000005,47.195
127.35,61.480000000000004,47.26
126.00999999999999,61.99000000000001,47.035
125.6,62.42000000000001,47.615
126.56000000000002,62.32,47.96
127.10000000000001,62.53,48.17
126.85,61.97,48.5
126.3,61.910000000000004,48.3
126.78,61.82000000000001,48.14
126.17000000000002,61.86000000000001,48.245
124.75,60.68,47.62
127.6,61.16,47.97
126.91,61.43000000000001,48.37
128.62,61.59000000000001,48.335
129.67,60.84,49.43
130.28,60.57000000000001,51.84
132.65,60.98,50.87
130.56,60.69,50.61
128.64,59.74,50.65
125.14999999999999,59.75000000000001,49.58
128.95,60.28,50.29
128.7,60.68,50.445
125.80000000000001,58.589999999999996,49.405
125.01,58.75,48.93
125.26000000000002,60.010000000000005,49.35
127.62,60.59,49.78
126.32000000000001,59.800000000000004,49.5
125.865,59.42,49.71
126.00999999999999,59.25,49.59
128.95,59.79,50.555
128.77,59.3,50.8
130.19,60.12,51.18
130.07,59.800000000000004,51.42
130.06,59.800000000000004,51.03
131.39,59.79,51.33
132.54,59.66,51.48
129.62,59.10999999999999,50.84
132.045,59.059999999999995,51.59
131.78,59.63,51.81
130.28,59.0,51.96
130.535,59.65,52.22
129.96,59.19,51.73
130.12,59.48,52.12
129.36,58.8,51.72
128.65,58.61,52.19
127.79999999999998,58.07999999999999,51.53
127.42000000000002,57.900000000000006,51.54
128.88,58.49,52.69
128.59,58.550000000000004,52.49
127.17,57.64999999999999,52.63
126.91999999999999,57.95,52.27
127.6,58.18,52.965
127.3,57.97,53.24
127.88000000000001,58.39,54.11
126.59999999999998,58.05,53.93
127.61,59.22,53.9
127.03,59.11999999999999,54.115
128.11,58.290000000000006,53.71
127.5,58.35,54.07
126.75,58.38,54.62
124.53,57.14,53.55
125.425,57.339999999999996,53.615
126.59999999999998,57.599999999999994,53.89
126.44,57.510000000000005,54.24
126.0,57.21999999999999,54.305
125.68999999999998,57.49,54.375
122.57000000000001,56.78999999999999,53.39
120.07000000000001,56.94,54.05
123.28,57.47999999999999,54.57
125.66,58.43,55.7
125.61,58.6,55.75
126.82,58.89000000000001,55.34
128.51,59.28999999999999,55.74
129.62,58.849999999999994,55.69
132.07,59.4,56.21
130.75,59.57,56.2
125.21999999999998,59.35,56.69
125.16,58.849999999999994,56.56
124.50000000000001,59.49999999999999,57.29
122.76999999999998,58.71000000000001,56.98
123.38,59.10999999999999,57.14
122.99,59.580000000000005,57.510000000000005
122.37000000000002,59.86,58.06000000000001
121.3,60.15999999999999,57.93
118.44,59.760000000000005,58.19
114.64,60.22,58.7
115.4,64.04,59.01
115.13,63.8,57.23
115.52,64.19,57.20000000000001
119.72,63.99,56.27
113.49,63.35,56.35
115.24,64.6,56.38
115.14999999999999,64.34,56.85
115.96,64.98,57.1
117.16,65.27,57.74
116.49999999999999,65.77,57.83
115.01,65.35,57.59000000000001
112.65,63.89000000000001,55.81
105.76,62.45,52.84
103.12,60.790000000000006,50.34
103.74,60.44,51.09
109.69,63.14,53.96
112.92,64.29,55.95
113.29,64.55,55.63
112.76,64.82,54.71
107.72,63.849999999999994,53.5
112.34,64.72,55.26
110.37,65.11,54.69
109.27,66.31,54.28
112.31,69.61,55.21
110.15,68.3,54.69
112.57,69.09,55.37
114.21000000000001,67.08,56.53
115.31000000000002,66.84,56.29
116.28,67.15,56.91
116.41,67.47,57.260000000000005
113.91999999999999,67.03,57.28
113.45,67.09,56.84
115.21,67.05,57.54
113.4,66.58,57.12
114.32,67.8,57.79
115.0,67.91,58.37
114.71,69.2,57.989999999999995
112.44,67.93,55.77
109.06,67.45,55.72
110.3,68.38,56.84
109.58,67.76,57.47999999999999
110.38,68.4,58.07999999999999
110.78,69.75,59.04
111.31,69.19,58.68999999999999
110.78,69.79,58.78
109.5,69.5,59.459999999999994
112.12,68.78,60.07
111.6,69.43,60.53999999999999
111.79,69.04,60.15999999999999
110.21,68.7,58.82
111.86,69.27,59.69
111.04,69.26,59.92999999999999
111.73,69.03,60.96999999999999
113.77000000000001,69.48,60.88
113.76,69.47,60.529999999999994
115.5,70.48,61.49
119.08000000000001,70.48,62.60999999999999
115.28000000000002,70.05,63.43
114.55000000000001,69.96,62.71
119.27,70.37,63.50999999999999
120.53,70.13,62.5
119.50000000000001,69.97,62.57
121.18,70.73,62.24000000000001
122.57000000000001,71.36,62.8
122.00000000000001,65.24,61.96
120.92,67.4,62.28
121.05999999999999,68.01,61.97
120.57,68.2,61.34000000000001
116.77,68.34,62.18
116.10999999999999,70.02,61.870000000000005
115.72000000000001,69.44,61.07
112.34,69.03,59.74
114.175,70.02,60.68
113.69000000000001,71.05,60.55
117.29000000000002,71.98,61.8
118.78,72.45,61.46
119.3,72.19,61.99000000000001
117.74999999999999,72.24,62.64000000000001
118.88,71.96,61.96
118.03,71.83,62.19
117.81000000000002,72.02,62.18
118.30000000000001,71.78,61.39000000000001
117.34000000000002,72.05,61.37
116.28,71.89,61.220000000000006
115.19999999999999,71.08,59.54999999999999
119.03000000000002,72.11,61.75
118.28,70.38,61.89
118.23,69.75,62.16
115.61999999999999,69.31,61.17999999999999
116.17000000000002,69.37,61.870000000000005
113.18,68.61,59.82
112.48,68.14,59.92000000000001
110.49,69.13,59.97999999999999
111.34,69.52,60.35000000000001
108.98,68.56,59.51500000000001
106.03,67.58,58.62
107.33,68.03,59.540000000000006
107.23,68.87,59.99
108.61,69.21,60.34000000000001
108.03,69.06,60.31999999999999
106.82,69.18,60.190000000000005
108.74,69.64,61.129999999999995
107.32,69.3,60.82
105.26,68.45,60.03
105.35,67.13,58.25999999999999
102.71,66.39,58.65
100.7,65.43,58.13
96.45,64.11,56.69
96.96,64.25,56.63
98.53,64.37,57.81999999999999
99.96,64.91,59.459999999999994
97.39,63.37,57.86999999999999
99.52,63.11000000000001,58.980000000000004
97.13,61.59000000000001,58.0
96.66,61.129999999999995,58.550000000000004
96.79,60.35999999999999,56.92
96.3,60.82,59.03
101.42,62.040000000000006,59.17
99.44,62.42000000000001,57.71
99.99,63.160000000000004,58.61
93.42,64.8,57.63000000000001
94.09,64.74,59.285
97.34,66.77,60.77
96.43,66.85,61.39999999999999
94.48,64.32,60.695
96.35,64.88,59.53000000000001
96.6,64.25,58.290000000000006
94.02,62.81999999999999,54.49
95.01,62.09,54.14
94.99,62.24000000000001,54.42
94.27,60.96999999999999,55.14
93.7,60.52000000000001,54.92
93.99,61.779999999999994,55.86
96.64,63.419999999999995,56.41
98.12,65.05,57.63000000000001
96.26,64.78,56.959999999999994
96.04,66.0,57.67
96.88,66.75,58.87
94.69,70.78,58.459999999999994
96.1,72.84,58.11000000000001
96.76,74.06,58.75
96.91,74.86,58.34
96.69,73.49,58.209999999999994
100.53,71.19,60.04
100.75,71.28,59.56
101.5,71.25,59.04
103.01,70.95,58.7
101.87,71.01,58.0
101.03,71.1,57.599999999999994
101.12,71.48,57.07
101.17,71.22,57.52
102.26,71.2,57.59000000000001
102.52,71.83,58.65
104.58,71.97,59.08
105.97,72.24,59.669999999999995
105.8,72.83,59.54999999999999
105.92,72.59,59.70000000000001
105.91,73.12,59.10000000000001
106.72,73.71,59.38
106.13,73.15,58.83
105.67,72.59,58.36
105.19,73.37,58.96
107.68,74.09,59.54999999999999
109.56,74.89,60.010000000000005
108.99,75.7,59.70000000000001
109.99,76.11,61.02
